#Jurisdiction	Cause	ResponseCategory	ProtectionZone	Year	Annee	Juridiction	DataQualifier	ISO	Niveaudintervention	Origine	Qualificatifs de donnees	Zonedeprotection	Nombre	Nombre (nul)	Number	Number (null)	Number of Records
Manitoba	Railways	Full	Intensive	1990	1990	Manitoba	U	MB	Normale	Chemins de fer	U	Intensive					1
Manitoba	Railways	Modified	Intensive	1990	1990	Manitoba	U	MB	Modulee	Chemins de fer	U	Intensive					1
Manitoba	Railways	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Chemins de fer	a	Intensive	0		0		1
Manitoba	Other industry	Full	Intensive	1990	1990	Manitoba	U	MB	Normale	Autres industrielles	U	Intensive					1
Manitoba	Other industry	Modified	Intensive	1990	1990	Manitoba	U	MB	Modulee	Autres industrielles	U	Intensive					1
Manitoba	Other industry	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Autres industrielles	a	Intensive	0		0		1
Manitoba	Incendiary	Full	Intensive	1990	1990	Manitoba	U	MB	Normale	Incendiaires	U	Intensive					1
Manitoba	Incendiary	Modified	Intensive	1990	1990	Manitoba	U	MB	Modulee	Incendiaires	U	Intensive					1
Manitoba	Incendiary	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Incendiaires	a	Intensive	0		0		1
Manitoba	Miscellaneous known causes	Full	Intensive	1990	1990	Manitoba	U	MB	Normale	Causes diverses connues	U	Intensive					1
Manitoba	Miscellaneous known causes	Modified	Intensive	1990	1990	Manitoba	U	MB	Modulee	Causes diverses connues	U	Intensive					1
Manitoba	Miscellaneous known causes	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Causes diverses connues	a	Intensive	0		0		1
Manitoba	Lightning	Full	Intensive	1990	1990	Manitoba	U	MB	Normale	Foudre	U	Intensive					1
Manitoba	Lightning	Modified	Intensive	1990	1990	Manitoba	U	MB	Modulee	Foudre	U	Intensive					1
Manitoba	Lightning	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Foudre	a	Intensive	0		0		1
Manitoba	Unspecified	Full	Intensive	1990	1990	Manitoba	a	MB	Normale	Indeterminee	a	Intensive	0		0		1
Manitoba	Unspecified	Modified	Intensive	1990	1990	Manitoba	a	MB	Modulee	Indeterminee	a	Intensive	0		0		1
Manitoba	Unspecified	None	Intensive	1990	1990	Manitoba	a	MB	Aucune	Indeterminee	a	Intensive	0		0		1
