% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1855	-0.5458	0.55	-0.6487	-1.2517	0.5756	-0.9021	-0.2772	0.3194	-0.5434	-0.2701
1865	-0.1576	1.078	-1.3361	-1.2181	0.322	0.262	0.8204	0.1061	-0.2266	-0.1169
1875	-0.0315	-0.0273	-1.0024	0.1734	0.2284	-0.4296	-1.302	0.2207	-0.2114	-0.0899
1885	-0.2868	-0.6667	0.2609	-0.5948	0.4243	0.5629	-0.1639	0.2815	-0.1287	-0.0315
1895	0.3458	-0.7037	-0.1844	-0.2999	0.1374	-0.3587	-1.1676	0.0761	0.2033	0.1319
1905	0.0346	-0.6717	0.1583	-0.2915	-0.17	-0.0794	0.2983	-0.1871	0.195	0.0855
1915	-0.1086	-0.8114	0.9242	-0.2909	0.0764	0.0093	-0.0178	0.0249	-0.0796	-0.043
1925	0.916	0.1246	-0.4396	-0.7142	-0.0179	0.0765	-0.1079	-0.1155	0.5426	0.3018
1935	0.0645	-0.8547	-0.2587	-0.2885	0.1422	0.1326	-0.8157	0.0818	-0.3542	-0.196
1945	-0.3261	0.276	0.484	-0.1751	-0.249	-0.1056	-0.3215	-0.2387	-0.2798	-0.2026
1955	-0.3165	0.2991	-0.2788	0.068	-0.1944	0.0701	-0.2814	-0.1576	-0.1682	-0.124
1965	-0.1673	0.2388	-0.5964	-0.291	-0.1243	0.2139	0.4892	-0.1477	-0.0442	-0.0494
1975	-0.4639	-0.0247	-0.6889	0.8507	0.2321	0.0294	0.6713	0.3189	-0.3168	-0.1366
1985	0.0392	1.4239	0.696	1.1324	0.3049	-0.277	0.5805	0.421	0.1343	0.1456
1995	-0.1543	-0.3136	      NaN	1.2408	0.2876	-0.1489	1.1886	0.4212	0.3786	0.2896
2005	0.5284	      NaN	      NaN	2.0356	0.7796	-0.7563	1.1927	0.9557	0.1976	0.2671
