"Year";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1247;0.628089002262406;1.13374730136253;0.496961480535144;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1248;0.727171297277402;1.13374730136253;0.433136133738117;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1249;0.739403436098842;1.13374730136253;0.401222590114756;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1250;0.746478338292584;1.13374730136253;0.358018384512918;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1251;0.640258441667373;1.13374730136253;0.282274972928057;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1252;-0.0265309670004284;1.13374730136253;0.184156027872091;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1253;-0.384595800817792;1.13374730136253;0.101678163029142;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1254;-0.186049280524117;1.13374730136253;-0.0337553130382294;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1255;0.0205558341911635;1.13374730136253;-0.137976516579478;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1256;-0.0820305721668656;1.13374730136253;-0.195352967864506;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1257;-0.353100448297251;1.13374730136253;-0.177093645328045;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1258;-0.0976073511520875;1.13374730136253;-0.110668351362186;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1259;-0.614931324574873;1.13374730136253;-0.100155014390698;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1260;-0.2957336971199;1.13374730136253;-0.138653543169804;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1261;0.0664939288170918;1.13374730136253;-0.157838675512843;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1262;0.156062258364179;1.13374730136253;-0.115225784328212;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1263;0.279657138840798;1.13374730136253;-0.0986838544824171;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1264;-0.0809159108092393;1.13374730136253;-0.073147285837821;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1265;-0.364429453599898;1.13374730136253;-0.0596581512407652;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1266;-0.273881895597246;1.13374730136253;-0.029159682094871;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1267;0.0730284635490582;1.13374730136253;-0.0142212177580523;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1268;0.0678119473058578;1.13374730136253;0.00738883764672551;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1269;-0.359565638128912;1.13374730136253;0.00736325399281145;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1270;-0.160842351149341;1.13374730136253;0.00528484842982458;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1271;0.371478620276034;1.13374730136253;0.0221749208279541;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1272;0.305446901732366;1.13374730136253;0.00868203123741037;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1273;0.495757692888576;1.13374730136253;0.016082697618066;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1274;-0.0811717473483798;1.13374730136253;0.0718126558954188;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1275;-0.385213509229767;1.13374730136253;0.0520790957756193;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1276;-0.104981171615951;1.13374730136253;0.00960331948719345;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1277;-0.0619004323563787;1.13374730136253;-0.0016713629459669;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1278;0.141818611112414;1.13374730136253;-0.0735655134243283;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1279;0.197733944644616;1.13374730136253;-0.0716345448260508;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1280;-0.358177952347337;1.13374730136253;-0.024068755504082;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1281;-0.0532791426082246;1.13374730136253;-0.0146073408321395;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1282;0.192700077400762;1.13374730136253;-0.045774168595337;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1283;-0.223183811895038;1.13374730136253;-0.0902884172631131;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1284;-0.0618620613656042;1.13374730136253;-0.160105855764246;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1285;0.0904443839899214;1.13374730136253;-0.186156180012895;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1286;-0.0103670248965267;1.13374730136253;-0.247510887527239;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1287;-0.373568709988353;1.13374730136253;-0.341503319121273;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1288;-0.303323875565348;1.13374730136253;-0.387140984493253;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1289;-0.500440440366715;1.13374730136253;-0.412671859575074;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1290;-0.618681194833823;1.13374730136253;-0.474062584059983;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1291;-0.666826217751662;1.13374730136253;-0.521482503184158;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1292;-0.747224238539582;1.13374730136253;-0.487075876158902;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1293;-0.679560465614833;1.13374730136253;-0.452541209456202;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1294;-0.317170812183821;1.13374730136253;-0.44191815098363;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1295;-0.523462860859168;1.13374730136253;-0.455140810384593;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1296;-0.48456621613828;1.13374730136253;-0.402528538390477;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1297;-0.0295024397357845;1.13374730136253;-0.338753575461493;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1298;0.0420227914616493;1.13374730136253;-0.283498320062049;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1299;-0.394209855641001;1.13374730136253;-0.249452333725796;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1300;-0.750907788843453;1.13374730136253;-0.191220825185862;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1301;-0.140703497810501;1.13374730136253;-0.185653263276083;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
